"单遮眼","hair over one eye one eye covered"
"欧克","{facesitting},masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper,artbook,bishoujo,female pervert,student,white hair,long hair,messy_hair,light blush,saliva,seifuku,white_thighhighs,bowtie,hair_bow,female_ejaculation,pussy_juice,blush,shy,nsfw,medium_breast:owres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry,missing fingers,bad hands,missing arms, long neck, Humpbacked,multiple breasts, (mutated hands and fingers:1.5 ), (long body :1.3), (mutation, poorly drawn :1.2) , black-white, bad anatomy, liquid body, liquid tongue, disfigured, malformed, mutated, anatomical nonsense, text font ui, error, malformed hands, long neck, blurred, lowers, lowres, bad anatomy, bad proportions, bad shadow, uncoordinated body, unnatural body, fused breasts, bad breasts, huge breasts, poorly drawn breasts, extra breasts, liquid breasts, heavy breasts"
"打屁股（建议给ai喂半成品画作","{{{spanked}}}(((masterpiece))), ((best quality)),((ultra_detailed)),((Illustration)),official art,{Extremely delicate and beautiful},finely detail,Many lights,1girl,hanfu,on stomach,on ground,bare hips,no panties"
"第一次尝试","(llustratio)), ((floating hair)), ((chromatic aberration)), ((caustic)), lens flare, dynamic angle, ((portrait)), (1 girl), (solo)), cute face, ((hidden hands)), asymmetrical bangs, (beautiful detailed eyes), eye shadow, ((huge clocks)),,((glass strips)), (floating glass fragments), ((colorful refraction)), (beautiful,detailed sky), ((dark intense shadows)), ((cinematic lighting)), ((overexposure)), (expressionless),blank stare, big top sleeves, (rill), hair_ _ornament, ribbons, bowties, buttons, ((small brasal)), pleated skirt, ((sharp focus)), ((masterpiece)), ((est quilil)), ((extremely detailed)), colorful, hdr"
"日系正太","shota, {{{masterpiece}}}, best quality, {{{{masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper}}}}, artbook, ahoge, white hair, short hair, bangs, light blush, aqua eyes, dog_ears, pointy ears, no_nose, light smile, red eyes, crop top, bare legs, sportswear, shoes , holding sword"
"色图","nsfw,sex,cum_on_vagina,just_one_penis,1boy,Bashful,sweat,orgasm,tears,crying,pain,pov,(best quality),(highly detailed),(masterpiece),(ultra-detailed),(absurdres),(((artbook))),((8k_wallpaper)),((an extremely delicate and beautiful)),((detailed light)),((ultra-detailed)),(anime face),((extremely_detailed_eyes_and_body)),((gorgeous)),((beautiful detailed eyes)),illustration,medium breasts,(solo),((bishoujo)),(arknights),((white_hair)),(((very long hair))),(red eyes)"
"神山识","highly detailed,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper,masterpiece, best quality, illustration, beautifully detailed eyes,  cinematic lighting,.{game cg,}.{masterpiece,}{lens 135mm,f1.8,}.character design,miko,bishoujo,slender waist,adolescent,young girl,{high ponytail,}.{blunt_bangs,}.{{loli.}}.age14.{Strawberry_red_hair. }.staring,embarrassed,{{{solo focus,}}},{aqua_eyes,}.infant,{straight-on,}. small breast.hair ornament."
"微微","hip focus,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},upper body,space background,fountain,[[cyberpunk]],highres,photo (medium) ,Ifrit,blunt_bangs,curly_hair,red_hair/red_eyes,facing viewer,standing,adjusting hair,upper body,frown,[glowing eyes],heterochromia,taut shirt,sheath dress,cleavage,cinematiclighting,gem"
"嘿嘿嘿","from the Side below,pov crotch, indoors, anime screencap, bishoujo, saliva, seductive smile , squatting, Skirt lift, legs jk face leg, up, blush, heart-shaped pupils serafuku, pleated skirt, no_panties, white pantyhose, no shoes, thigh strap, medium_breasts, upturned nipples"
"女生","tutu,portrait,full body,perspective,classroom,anime screencap,solo,bishoujo,slim waist,saliva,blonde hair,looking at viewer,w-sitting on the ground,skirt_lift,top-down bottom-up,legs apart,from below,full body,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},colorful,loli,azur lane,ponytail,white_hair,red_eyes,standing,blush,embarrassed,no_bra,wedding dress,no shoe,hair bow,Holding the wedding bouquet with both hands,flat_chest,yellow_eyes,black hair,best quality,highres,petite,black string bikini,long_hair,solo,wet,medium_breasts,thigh strap,​ahega​o,torogao,lying on back,presenting armpit,open  legs,orgasm"
"爆操希特勒","eat figure,long_hair,blonde hair,twintails,facing viewer,small_breasts,detailed background,ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},incredibly_absurdres,colorful,intricate detail,artbook,cyberpunk, city, kowloon, rain,indoors,orgasm,drooling,naughty_face,torn clothes,small breastsinds,nsfw,miniskirt,anklet,torn_thighhighs,heart-shaped_pupils,squatting,legs apart,tail insertion,infant,kemono,pornography,china dress,nsfw,upturned nipples,areola_slip,upturned nipples,unbuttoned clothes,gigantic_breasts,nsfw,sex,cum_on_vagina,just_one_penis,1boy,Bashful,sweat,orgasm,tears,crying,pain,pov,(best quality),(highly detailed),(masterpiece),(ultra-detailed),(absurdres),(((artbook))),((8k_wallpaper)),((an extremely delicate and beautiful)),((detailed light)),((ultra-detailed)),(anime face),((extremely_detailed_eyes_and_body)),((gorgeous)),((beautiful detailed eyes)),illustration,medium breasts,(solo),((bishoujo)),(arknigh"
"小草人","masterpiece, best quality, night, full_moon, stars, rainy days, strong rim light, intense shadows, huge_filesize, colorful, game_cg, profile, girl, solo, bishoujo, female, multiple_girls, silver hair, hair up, ahoge, hime_cut, crossed bangs, asymmetrical hair, side braid, asymmetrical bangs, diagonal bangs, hair over breasts, hairclip, white hairband, white colored eyelashes, white eyebrows, longeyelashes, looking at viewer, light smile, embarrassed , white eyes, grey eyes, gradient eyes, medium breasts, revealing dress, whitedress, crop top, bare legs, socks removed, boots, hairclip, hair_ribbon, hair_ornament, jewelry, turning around, hand on hip, adjusting hair, leg_lift, waving"
"哇袄","foot focus,hip focus,male focus,loli girl moon night light lake glass,overall view,lovely,church,photorealistic,photo (medium) ,knife and sword,maid,shota,neat figure,slender waist,slim waist,saliva,flipped hair,red_eyes,platinum_hair,white_hair,red_eyes,evil smileevil grin,clenched teeth,licking lips,tongue out,looking down,groping,spread legs,clothes_lift"
"哭泣的少女","foot focus,hip focus,male focus,loli girl moon night light lake glass,overall view,lovely,church,photorealistic,photo (medium) ,knife and sword,maid,shota,neat figure,slender waist,slim waist,saliva,flipped hair,red_eyes,platinum_hair,white_hair,red_eyes,evil smileevil grin,clenched teeth,licking lips,tongue out,looking down,groping,spread legs,clothes_lift"
"主観視点·arknights风(by東野れふと)","(amiya_\(arknights\):1.25),(masterpiece:1.5), (best quality:1.5), (official art:1.5),(ultra-detailed:1.5), (llustration:1.5),(ultra-detailed Shadow),dappled sunlight,(chromatic aberration:1.35), (rough sketch:illustration:1.35),brilliant, dazzling, dynamism, luminescence, deep emotion,(little girl:1.5), (disheveled hair:1.2),eyes,half closed eyes,(undressing:1.35),(nsfw:1.3),(sex:1.5), (pussy:1.25),(small breasts:1.5),(flat chest:0.5),sweating,(pussy_juice:1.5),(orgasm:1.35),(lifted by self:1.35),(areola slip:1.5),(cowgirl position:1.5),(cowboy_shot:1.25),(steam:1.25),(dramatic angle:1.35),looking at viewer,(focus on face:1.35),(skinny:1.5),tan,(animal ears),(extremely detailed CG unity 8k wallpaper),(particle light)"
"色情魅魔","nsfw,sex,cum_on_vagina,just_one_penis,1boy,Bashful,sweat,orgasm,tears,crying,pain,pov,(best quality),(highly detailed),(masterpiece),(ultra-detailed),(absurdres),(((artbook))),((8k_wallpaper)),((an extremely delicate and beautiful)),((detailed light)),((ultra-detailed)),(anime face),((extremely_detailed_eyes_and_body)),((gorgeous)),((beautiful detailed eyes)),illustration,medium breasts,(solo),((bishoujo)),(arknights),((white_hair)),(((very long hair))),(red eyes),bangle,bracelet,blurry background,incredibly_absurdres,dakimakura,dungeon background,basement,indoors,slim waist,succubus,long hair,white_hair,red_eyes,licking lips,parted lips,evil smileevil grin,bare shoulders,girl on top,sitting on bed,Bracelet,breast hold,anklet,legs apart,fucked silly,orgasm,Maid dress,no_panties,thighband pantyhose,garter straps garter belt,shackles,no shoes,handcuffs,huge_breasts"
"真的可以吗","from side,ahoge,medium hair,red_eyes,smirk,squatting,chin,ass visible through thighs,Bare thigh,fang,naughty_face,half-closed eyes,(((soaked))),thigh strap,neck ribbon,(((((cum on face,cum on body,cum on hair,wet clothes))))),cleavage,((upturned nipples)),((areola_slip)),puffy areolae,fundoshi,less clothes,slender waist,shiny skin,((((unbuttoned clothes)))),dakimakura,masterpiece,intricate detail,Perfect female body,yuri,sweat,virgin"
"全套婚纱","bride, bridal veil, bridal gauntlets, wedding dress, bridal garter, bridal legwear, white thighhighs, stiletto heels"
"好康的白毛萝莉","white hair, loli, school uniform, long hair,hair ribbon, white stocking,best quality, masterpiece, highres, original, extremely detailed wallpaper,an extremely delicate and beautiful,wet clothes,nsfw,top-down bottom-up"
"白毛萝莉涩涩超好看-y","{{masterpiece}},(((best quality))), ((ultra-detailed)),{{{photorealistic}}}, overexposure,1 girl,very long hair,{{wet hair}},Nudity,slim legs,big breasts,puffy nipples,seiza,spread legs,exhibitionism,open  legs,Presenting Pudences,bathing,shower, depth of field,cinematic angle ,backlighting,young girl,blush,naughty_face,nsfw,pussy,super fine illustration,masterpiece, best quality,{beautiful detailed eyes},1girl,finely detail,Depth of field, 4k wallpaper,bluesky,cumulus,wind,insanely detailed frills,extremely detailed lace,BLUE SKY,very long hair,Slightly open mouth,high ponytail,silver hair,small Breasts,cumulonimbus capillatus,slender waist,There are many scattered luminous petals,Hidden in the light yellow flowers,Depth of field,She bowed her head in frustration,Many flying drops of water,Upper body exposed,Many scattered leaves,branch ,angle ,contour deepening,cinematic angle ,{{{Classic decorative border}}},nude,breasts out,nipples,big breasts,floating hair,medium_breasts,miniskirt,school_uniform,empty"
"黑皮肌肉精灵大姐姐触手play色色","(((extremely detailed CG unity 8k wallpaper))), (((masterpiece))), (((best quality))), (best illustration),((extremely delicate and beautiful)),nsfw, 1 girl,solo,black_hair,long_hair,black_eyes,(pointy ears),(((dark-skinned_female))),mature female,(((big muscle female))),(((abdominal muscle))),(((Delicate muscle lines))),(((naked))),(((sweating profusely))),(((sweat))),gigantic breasts,(pink nipples),thin fingers,full body,(ntoo much sarcoma in tentacles),(((vaginal object insertion))),(((orgasm)))(((orgasm massive squirting)),((screaming)),(saliva)"
"老婆~","on bed,(extremely detailed CG unity 8k wallpaper),(((detailed manga illustration))),(((meticulous painting))),ahoge,long_hair,skindentation,no_panties,flat_chest,(((detail fingers))),squatting,Perfect female body,infant,Silver hair,purple eyes,slim waist,virgin,cat girl,enchanter,shiny skin,see-through,white_thighhighs"
"蓝发少女","adult a girl Blue hair blue eyes ,hair over one eye one eye covered,cinematiclighting,red moon,Put your hands in your pockets,standing,china dress"
"曉美焰貓娘在床上完事後","masterpiece, best quality, cat girl, akemi homura, pain, bed, after sex, large breasts, torn clothes, cum, torn pantyhose, torn skirt, torn bra"
"萝莉","{{masterpiece}},(((best quality))), ((ultra-detailed)),{{{photorealistic}}}, overexposure,1 girl,very long hair,{{wet hair}},Nudity,slim legs,big breasts,puffy nipples,seiza,spread legs,exhibitionism,open  legs,Presenting Pudences,bathing,shower, depth of field,cinematic angle ,backlighting,young girl,blush,naughty_face,nsfw,pussy,super fine illustration,masterpiece, best quality,{beautiful detailed eyes},1girl,finely detail,Depth of field, 4k wallpaper,bluesky,cumulus,wind,insanely detailed frills,extremely detailed lace,BLUE SKY,very long hair,Slightly open mouth,high ponytail,silver hair,small Breasts,cumulonimbus capillatus,slender waist,There are many scattered luminous petals,Hidden in the light yellow flowers,Depth of field,She bowed her head in frustration,Many flying drops of water,Upper body exposed,Many scattered leaves,branch ,angle ,contour deepening,cinematic angle ,{{{Classic decorative border}}},nude,breasts out,nipples,big breasts,floating hair,medium_breasts,miniskirt,school_uniform,empty"
"萝莉","(((extremely detailed))),(((best quality))),(((masterpiece))),illustration,clear-cut margin,little boy,{{penis}},{{personification}},Feminization,Sexual conversion,Female conversionwhite long hair,blue eyes,beautiful detailed eyes ,Hair glows,expressionless, hairs between eyes,sky, socks,{{school uniform,}},sun rise,indoors,sneakers,White silk stockings,{{{white silk}}},translucent,wet,foots"
"开心的萝莉","{{masterpiece}},(((best quality))), ((ultra-detailed)),{{{photorealistic}}}, overexposure,1 girl,very long hair,{{wet hair}},Nudity,slim legs,big breasts,puffy nipples,seiza,spread legs,exhibitionism,open  legs,Presenting Pudences,bathing,shower, depth of field,cinematic angle ,backlighting,young girl,blush,naughty_face,nsfw,pussy,super fine illustration,masterpiece, best quality,{beautiful detailed eyes},1girl,finely detail,Depth of field, 4k wallpaper,bluesky,cumulus,wind,insanely detailed frills,extremely detailed lace,BLUE SKY,very long hair,Slightly open mouth,high ponytail,silver hair,small Breasts,cumulonimbus capillatus,slender waist,There are many scattered luminous petals,Hidden in the light yellow flowers,Depth of field,She bowed her head in frustration,Many flying drops of water,Upper body exposed,Many scattered leaves,branch ,angle ,contour deepening,cinematic angle ,{{{Classic decorative border}}},nude,breasts out,nipples,big breasts,floating hair,medium_breasts,miniskirt,school_uniform,empty "
"我心目中的魅魔","Devil's Horn,Demon Wings,succubusl,Long purple hair,Heart-shaped tail,best quality,illustration,highly detailed,masterpiece,ultra-detailed,Peach Heart Tail"
"女仆","masterpiece, best quality, in winter, night, cloudy, snow, on the beach, sea, arms behind head, partially unbuttoned, loli, girl, kawaii, loli, kemonomimi_mode, white hair, cat_ears, heart in eye, heart-shaped pupils, animal ear fluff , one breast out, sexy lingerie, skirt lift, shirt lift, pussy_juice, shaved_pussy, pussy/vaginal, clothed_masturbation, masturbation"
"仇书云（自设）","first-person view,out of frame,building,rain,neon lights,cumulonimbus,moon,greco-roman architecture,anime screencap,medium hair,red eyes,seductive smile ,groping,shushing,slim legs,heterochromia blue red,beautiful detailed eyes,summer long skirt,thighhighs,knee boots,medium_breasts"
"温柔大姐姐","first-person view,lens 135mm,f1.8,rain,indoors,solo,braided bangs,black hair,shushing,standing,sideways glance,slim legs,raised eyebrow,heterochromia golden green,summer long skirt,black_thighhighs,boots,medium_breasts"
"白毛猫耳过膝袜御姐","full body,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},character design,anime screencap,((art of light novel)),solo,maid,ahoge,hime_cut,Silver hair,evil smileevil grin,open your legs wide,detail fingers,((handjob gesture)),m legs,((no underwear)),school uniform,pleated skirt,thighhighs,uwabaki,vibrator,tiny tits,depthoffield,depth of field,embarrassed,((flat_chest)),open your legs wide,sitting on bed,(spread legs),(m legs),((white pantyhose)),nsfw,cat_ears"
"兽耳少女异瞳","full body,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},character design,anime screencap,((art of light novel)),solo,maid,ahoge,hime_cut,Silver hair,evil smileevil grin,open your legs wide,detail fingers,((handjob gesture)),m legs,((no underwear)),school uniform,pleated skirt,thighhighs,uwabaki,vibrator,tiny tits,depthoffield,depth of field,embarrassed,((flat_chest)),open your legs wide,sitting on bed,(spread legs),(m legs),((white pantyhose)),nsfw,cat_ears"
"坦克世界WZ-113G FT娘化","full body,dynamic angle ,red moon,rain,library,official art,solo,mature female,very_long_hair,hime cut,black_hair/black_eyes,seductive smile ,gill support,naughty face,one eye closed,collared shirt,knees together,pleated skirt,black pantyhose,lace-up boots,belt,medium_breasts,medal"
"魔理沙","(((long_hair))),((blonde_hair/yellow_eyes)),dynamic pose,(((white_thighhighs))),((((no shoe)))),(sleeves),(((((wizard hat))))),((full body)),(((library))),((((slim waist)))),(((((slim legs))))),solo,[petite],(sideways glance),(smile),((Maid dress)),neat figure,witch,flat_chest,(((apron))),(((walk))),masterpiece"
"短发控福利","正面：masterpiece, best quality, 1girl, [+++realistic+++], nude, pussy, pussy juice, small breasts, spread legs, short hair, [sneakers], [+++++realistic_face+++++], [+++++realistic_pussy+++++], [++++high_school_student++++],负面：lowers, bad anatomy, bad hands, text, error, missing fingers, extra digits, cropped, worst quality, low quality, normal quality, jpeg arifacts, signature, watermark, username, blurry"
"阿比盖尔（大概率死库水偶尔白裙,最好补充负面TAG","abigail williams \(swimsuit foreigner\) \(fate\),{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},lens flare,colorful startrails,space background,crescent,aurora,glinting stars,starry sky,clusters of stars,starry sky,glinting stars,gothic architecture,masterpiece,highres,tachie,solo,petite,infant,long_hair,very_long_hair,looking at another,eyelashes,flat_chest,first-person view"
"裸体精灵少女,唯美","1. In the broad snow, on the ice lake, in the afternoon, (panorama) an extremely delicate and beautiful young girl, (naked), (blue-pink long hair), exquisite and beautiful shining blue eyes, (exquisite eye description), (8-year-old girl) exquisite and long eyelashes, wearing a crown on her head, shining halo, silver earrings, (an extremely delicate and lovely face),. ((Detailed description of hair), ((long white hair)), (long white hair)), (exquisite petite breasts) (exquisite breast depiction), (exquisite nipples), (((showing perfect and delicate pussy))) ((exquisite pussy description))), (exquisite hair depiction), ((white pubic hair) There are super fine illustrations, very fine light, very fine light, very fine 8KCG wallpaper)) ((pornographic pictures, sex, 18+) ((panorama)) (ultra-high definition picture quality)"
"害羞的老婆","ahoge,long_hair,messy_hair,ass focus,white_hair,red_eyes,crying,top-down_bottom-up,hidden hands,ass visible through thighs,blush,scared,swimsuit,no shoes,medium_breasts,twintails,red_eyes,white_hair,legs apart,conjoined black silk,plaid skirt,black stocking,nsfw,sex,cum_on_vagina,just_one_penis,1boy,Bashful,sweat,orgasm,tears,crying,pain,pov,(best quality),(highly detailed),(masterpiece),(ultra-detailed),(absurdres),(((artbook))),((8k_wallpaper)),((an extremely delicate and beautiful)),((detailed light)),((ultra-detailed)),(anime face),((extremely_detailed_eyes_and_body)),((gorgeous)),((beautiful detailed eyes)),illustration,medium breasts,(solo),((bishoujo)),(arknights),((white_hair)),(((very long hair))),(red eyes),virgin,1girl,loli,bangs,{hanfu},double_bun,ahoge,{ chinese clothes,Tai Chi}, short hair, (turquoise,Chinese Tang suit),(aqua_eyes),solo, {white hair),young girl,{{chinese style architecture},{[white_thighhighs}]},{{{loafers}},(fucked silly,torogao)"
"半透","see-through,wet black jk,bare nipples,{{{masterpiece}}},{extremely detailed CG unity 8k wallpaper},best qualitbackground,beautiful detailed eyes,bright pupils,{{full body}},detailed clothes,masterpiece, oil painting (medium) , best quality, best quality, Amazing, beautiful detailed eyes, finely detail, Depth of field, masterpiece, 1girl, mature female, anime character,choker,beautiful detailed eyes,look at viewer,sweater,seaside,A girl with high ponytails,Mountains in the distance,Expressionless,beautiful neck, bouncing breasts,cat ears,Negative prompt: lowres,bad_prompt_v2,bad hands,bad body,text, error,(Mutated hands and fingers:1.5), one hand with more than 5 fingers, one hand with less than 5 fingers, missing fingers,worst quality,low quality,watermark, username,blurry,poorly drawn,poorly drawn hands,mutilated,unclear eyes,Pointed ears,deformed,poorly drawn face,bad face,missing fingers,three legs,bad feet,disfigured,text font ui,extra arms,extra digit,long neck,Humpbacked,Bad leg, wrong leg, misplaced l"
"蓝发少年","((high saturation)),depth of field,building,cumulonimbus,sun,contour deepening,azur lane,(((1girl))),long_hair,shiny hair,(((beautiful detailed eyes))),star eye,white hair,(red eyes),school_uniform,(loli body),(loli face),detailed face,white pantyhose,medium_breasts,(((((incredibly_absurdres))))),(best quality), ((masterpiece)), (highres), original, extremely detailed 8K wallpaper, (an extremely delicate and beautiful),ray tracing,(best quality), ((masterpiece)), (highres), colorful,intricate detail,artbook,blur_background,cinematic angle"
"图书馆瑟瑟","2girls,1 girl is touching another girl's vagina,no_panties,no_underwear,no_bra,upright straddle,  siting on the floor,library,orgasm,fucked silly,heart-shaped_pupils,white shirt, no pants"
"大屌萌妹（1024,成功率低,记得加万反向tag）","{{{{{masterpiece}}}}},{{{best quality}}},official art,{{{extremely detailed CG unity 8k wallpaper}}}, nude,full body, nsfw, ojousama, silver hair, crown braid, twintails, very long hair,ahoge, hair over eyes, crescent hair ornament, light blush,red eyes, heart-shaped eyes, glowing eyes,white skin,highlight skin, small breasts, no bra, {{{{{no panties}}}}}, eye_contact, sitting on, spread legs, arms behind back , sunny day, {{strong rim light}}, in a meadow, artbook, huge_filesize,white thighhighs, lace, elbow gloves ,{{detailed background}},trees,shiny skin,(naughty face),((penis,large penis,penis ribbon))"
"侧躺异色瞳小萝莉","resolution, depth of field, panorama, fantasy, aquamarine, dazzle, light, earrings, a little girl, courtyard, student, modern, garden, lovely, long hair, white hair, dress, a pair of different color eyes, two dimensional, angel wings, white stockings, small size, small breasts, a delicate earrings, looking at the audience, wechat, flowers, petal sshushing, heterochromia golden green,strappy heels, Lie on your side"
"事后黏糊糊","masterpiece,best quality,masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper,incredibly_absurdres, crotchless panties,dynamic angle ,library,realistic,screentones,colored inner hair,long hair,french braid,colored inner hair,aqua_hair,forehead,presenting armpit,m legs,orgasm,empty eyes,rolling eyes,torn clothes,tabi,hair flower,head chain, jewelry,upturned nipples,gem,leg ring, hair pulled back,spread legs,kneeling, (((cum_inside))),(((cum_on_breast))),(((cum_on_hair)))"
"💙","(((masterpiece))), (((best_quality))), ((masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper)), (((best_illustration))), ((bishoujo)), ((medium_hair)), ((hair over shoulder)), ((blue_hair)), (((Genshin Impact))), (((Kamisato Ayaka))), ((high_ponytail)), ((blunt_bangs)), ((hair_ornament)), ((beautiful detailed eyes)), ((blush)), ((blue_eyes)), ((small_breasts)),  ((school_uniform)), ((pleated_skirt)), ((beautiful detailed face)), ((beautiful detailed background)), ((garter_straps)), ((black_kneehighs)),((uwabaki)), ((full_body)), ((solo)), ((huge_filesize)), ((ultra-detailed)), (((twin braids))),((((forehead)))),(((rolling eyes))),(((one breast out))),(((tentacle hair))),(((puffy_nipples))),(((gokkun))),(((facia)))l,(((ejaculation))),(((cum_inside))),(((cum_on_breast))),(((cum_on_hair))),(((pubic_hair))),(((huge_ass))),(((peeing))),((bare legs)),((bare feet)),(((show foot)))"
"中出中世纪剑娘","((oil painting)), ((masterpiece)), ((best quality)), ((ultra-detailed)), (illustration), ((impasto)), highres, (beautiful detailed), classicism, Rembrandt lighting, brown background, detailed face,infant,mechanical armor wings,blue fire and sword interweave,solo,flat_chest,armlet,capelet ,adjusting hair, tentacle_sex, penis on pussy, naked,school, 3d, no bra, no panties, penis, spread pussy, (((twin braids))),(((rolling eyes))),(((one breast out))),(((tentacle hair))),(((puffy_nipples))),(((gokkun))),(((facia)))l,(((ejaculation))),(((cum_inside))),(((cum_on_breast))),(((cum_on_hair))),(((pubic_hair))),(((fat_mons))),(((huge_ass))),(((peeing))),((bare legs)),((bare feet)),(((show foot)))"
"严肃的女神官","（（（masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper）））,(ray tracing), ((1 female priest)), beautiful and exquisite maiden, amazing, fine details, western fantasy style, close-up, detailed background, dynamic angles, (detailed clothes), daytime, interior, (fine details),looking at viewer,solo, daytime, interior, (fine details), slender legs, two-handed sword, delicate sword, (robe: armor: 1.5), oily black pantyhose, over-the-knee boots, smooth skin, long blonde hair, long red hair, gradient hair, fighting stance, serious expression,(Small breasted),floating hair"
"婚纱","The amazing Chinese red,Hanfuwedding dress cloak is embroidered with,translucent crystals. The sparkling pearl crystals,sparkle like diamonds. The glowing dynamic,particles are suspended around the wedding,dress. The phoenix is lifelike, dragging a 2mlong,skirt. It is beautiful and noble, light white, magical,octane rendering, surrealism, light background,16K,ureal --ar 2:3 --v 4"
"梦中之人","out of frame,greco-roman architecture,indoors,tachie,solo,long hair,black hair,eye contact,standing,shushing,knees together,light smile,heterochromia,pleated skirt,collared shirt,black_thighhighs,knee boots,medium_breasts,glasses"
"社保(用来缝合的)","cum,excessive cum,projectile cum,cum in pussy, cum on body, cum on breasts, cum in mouth, cum on hair, cum on clothes, cumdrip"
"试试看吧？也许会有好事发生哟","masterpiece, best quality, highly detailed, highres, absurdres, ray tracing, glaze surface, cg, fake screenshot, exquisite, ,1girl, sex, white hair(silver and grey), red(8.4) and orange(2.2) and purple(1.7) eyes have light sparkle gradual change, red(8.4) and orange(2.2) and purple(1.7) eyes have light sparkle gradual change, long hair, braid, medium breasts, aged up, deep red(0.9) and dark red(0.4) eyeshadow, light blue earrings, blue(red 3.7) rose on hair, black noble clothes, long sleeves, black dress, black high heels, black and gold gown, long dress, hair flower(red orange rose), fluffy gothic lolita, contemporary, scar, elegance, naked shirt, ornate fancy boots(armored boots yellow and black dargen), jumpsuit, hollow boot, hollow body, light sparkle in eyes, hollow ornate hollow boots, silky bodysuit, silky shirt"
"大家好啊,我是说的道理,今天来点大家想看的东西","masterpiece, best quality, highly detailed, highres, absurdres, ray tracing, glaze surface, cg, fake screenshot, exquisite, crystal hair, crystal eyes,crystal hair, crystal eyes, crystal hair, reflection light, Clear picturecinematiclighting, reflection light, Clear picture, extremely detailed CG unity 8k wallpaper, detailed manga illustration, Aestheticism Painting, incredibly_absurdres, beautiful_face, ,1boy, solo, cold, cooler, black jacket, silk neck ribbon, silk neck ribbon, silk bodysuit(white and red), gothic_lolita, black and gold boots, aged down, lace-trimmed panties, femboy, sex, cyan(1.5) and red(1.9) and orange(2.3) in eyes, sparkle in eyes, medium breasts, eyebrows_visible_through_hair, trench_coat, aqua crystal earrings, gradient eyes, black hair, hair flower(red), man,black sunglasses, crew cut hair, ornate nipple clamps, crystal jewelry, see-through, see-through sleeves, see-through silhouette, crystal necklace, collarbone, jewelry crystal earrings, hollow body, tomboy, black short hair"
"色色、","overexposure,{wet clothes},medium breast,solo,Bare thigh,best quality,highly detailed,masterpiece,ultra-detailed,illustration,camel_toe,full_body,stockings"
"永恒的黑夜","(((hatsune miku))),slender waist,papilla,legs over head,pubic tattoo,bouncing breasts,long hair,medium breast, completely nude,highly detailed,garter belt,lying on back,Perfect female body, solo, lace-trimmed bra,legs up,{facesitting},masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper,artbook,bishoujo,female pervert,student,white hair,long hair,messy_hair,light blush,saliva,seifuku,white_thighhighs,bowtie,hair_bow,female_ejaculation,pussy_juice,blush,shy,nsfw,medium_breast:owres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry,missing fingers,bad hands,missing arms, long neck, Humpbacked,multiple breasts, (mutated hands and fingers:1.5 ), (long body :1.3), (mutation, poorly drawn :1.2) , black-white, bad anatomy, liquid body, liquid tongue, disfigured, malformed, mutated, anatomical nonsense, text font ui, error, malformed hands, long neck, b"
"粉毛白丝猫耳小萝莉(睡着惹)by筱梦","1girl, solo, nipples, animal ears, pink hair, navel, pussy, thighhighs, {{closed eyes}}, small breasts, nipples, long hair, gloves, blush, {{lying}}, {on back}, {white thighhighs}, thigh strap, animal ear fluff, uncensored, pillow, paw gloves, white gloves, armpits, nude, closed mouth, collarbone, cleft of venus, cat ears, bangs, loli, arms up, cowboy shot, ahoge, drunk"
"趴着面对着你的少女（上半身）","masterpiece, best quality, ultra-detailed, illustration, disheveled hair, frills, 1girl, solo, dynamic angle, big top sleeves, floating, beautiful detailed eyes, overexposure, side blunt bangs, hair between eyes, top-down bottom-up, head back, buttons, flowers, blank stare, all fours, topless, facing away, medium breasts, breasts out, covered nipples, bottomless, bare shoulders, ribbons"
"可爱伪娘捆绑","1boy,science_fiction,((masterpiece)), best quality, blue_eyes,buildings,overall view,cinematic angle,chastity cage,medium hair, flat chest,heart-shaped pupils,naughty_face,ojousama,(nipple_tweak), bondage, nipple_torture,androgenous,NSFW, detailed dick between legs, glittering penis_juice, detailed face, beautiful wedding dress, blush, full body"
